sample_id,task,format,condition,final_estimate,threshold,lower_bound,upper_bound,bound_violation
main:giraffes:unrestricted:above_good:0010,giraffes,unrestricted,above_good,43650000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0012,giraffes,unrestricted,above_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0005,giraffes,unrestricted,above_good,18720000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0013,giraffes,unrestricted,above_good,17915000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0015,giraffes,unrestricted,above_good,24570000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0016,giraffes,unrestricted,above_good,25200000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0014,giraffes,unrestricted,above_good,21870000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0017,giraffes,unrestricted,above_good,20800000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0018,giraffes,unrestricted,above_good,17667000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0019,giraffes,unrestricted,above_good,14040000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0022,giraffes,unrestricted,above_good,23000000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0021,giraffes,unrestricted,above_good,23400000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0020,giraffes,unrestricted,above_good,19900000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0023,giraffes,unrestricted,above_good,21240000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0025,giraffes,unrestricted,above_good,17640000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0024,giraffes,unrestricted,above_good,18135000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0026,giraffes,unrestricted,above_good,13455000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0029,giraffes,unrestricted,above_good,36000000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0027,giraffes,unrestricted,above_good,11700000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0031,giraffes,unrestricted,above_good,21060000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0028,giraffes,unrestricted,above_good,18150000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0030,giraffes,unrestricted,above_good,21150000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0035,giraffes,unrestricted,above_good,20800000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0034,giraffes,unrestricted,above_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0036,giraffes,unrestricted,above_good,23400000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0037,giraffes,unrestricted,above_good,17480000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0032,giraffes,unrestricted,above_good,23400000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0039,giraffes,unrestricted,above_good,5100000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0038,giraffes,unrestricted,above_good,70200000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0033,giraffes,unrestricted,above_good,14200000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0041,giraffes,unrestricted,above_good,30000000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0042,giraffes,unrestricted,above_good,9835500,17550000.0,,,False
main:giraffes:unrestricted:above_good:0043,giraffes,unrestricted,above_good,24000000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0040,giraffes,unrestricted,above_good,21402000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0044,giraffes,unrestricted,above_good,18400000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0045,giraffes,unrestricted,above_good,26463000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0047,giraffes,unrestricted,above_good,17600000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0048,giraffes,unrestricted,above_good,76050000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0049,giraffes,unrestricted,above_good,21060000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0046,giraffes,unrestricted,above_good,18750000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0000,giraffes,unrestricted,below_good,11500000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0004,giraffes,unrestricted,below_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0003,giraffes,unrestricted,below_good,17500000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0002,giraffes,unrestricted,below_good,14300000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0001,giraffes,unrestricted,below_good,15600000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0006,giraffes,unrestricted,below_good,17199000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0005,giraffes,unrestricted,below_good,16000000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0008,giraffes,unrestricted,below_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0007,giraffes,unrestricted,below_good,21060000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0010,giraffes,unrestricted,below_good,4160000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0011,giraffes,unrestricted,below_good,23400000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0012,giraffes,unrestricted,below_good,17360000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0009,giraffes,unrestricted,below_good,18135000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0013,giraffes,unrestricted,below_good,14065600,17550000.0,,,False
main:giraffes:unrestricted:below_good:0014,giraffes,unrestricted,below_good,17980000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0015,giraffes,unrestricted,below_good,18135000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0017,giraffes,unrestricted,below_good,13300000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0018,giraffes,unrestricted,below_good,17250000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0019,giraffes,unrestricted,below_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0016,giraffes,unrestricted,below_good,17330000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0021,giraffes,unrestricted,below_good,21060000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0023,giraffes,unrestricted,below_good,14100000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0022,giraffes,unrestricted,below_good,16700000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0020,giraffes,unrestricted,below_good,22230000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0024,giraffes,unrestricted,below_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0025,giraffes,unrestricted,below_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0026,giraffes,unrestricted,below_good,17500000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0027,giraffes,unrestricted,below_good,20545000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0029,giraffes,unrestricted,below_good,10530000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0028,giraffes,unrestricted,below_good,10700000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0032,giraffes,unrestricted,below_good,17500000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0030,giraffes,unrestricted,below_good,15600000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0031,giraffes,unrestricted,below_good,16470000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0033,giraffes,unrestricted,below_good,21060000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0035,giraffes,unrestricted,below_good,17500000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0036,giraffes,unrestricted,below_good,20200000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0034,giraffes,unrestricted,below_good,23000000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0037,giraffes,unrestricted,below_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0041,giraffes,unrestricted,below_good,0,17550000.0,,,False
main:giraffes:unrestricted:below_good:0039,giraffes,unrestricted,below_good,17960000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0038,giraffes,unrestricted,below_good,18135000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0040,giraffes,unrestricted,below_good,18486000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0042,giraffes,unrestricted,below_good,16400000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0043,giraffes,unrestricted,below_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0045,giraffes,unrestricted,below_good,12300000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0046,giraffes,unrestricted,below_good,14900000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0047,giraffes,unrestricted,below_good,4250000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0044,giraffes,unrestricted,below_good,17500000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0049,giraffes,unrestricted,below_good,17550000,17550000.0,,,False
main:giraffes:unrestricted:below_good:0048,giraffes,unrestricted,below_good,13800000,17550000.0,,,False
main:giraffes:bounded:baseline:0001,giraffes,bounded,baseline,11250000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0004,giraffes,bounded,baseline,23000000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0000,giraffes,bounded,baseline,18486000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0003,giraffes,bounded,baseline,20475000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0006,giraffes,bounded,baseline,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0002,giraffes,bounded,baseline,10500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0007,giraffes,bounded,baseline,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0005,giraffes,bounded,baseline,17850000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0009,giraffes,bounded,baseline,15970500,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0010,giraffes,bounded,baseline,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0008,giraffes,bounded,baseline,19500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0014,giraffes,bounded,baseline,19200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0013,giraffes,bounded,baseline,14250000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0016,giraffes,bounded,baseline,16100000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0012,giraffes,bounded,baseline,11408000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0011,giraffes,bounded,baseline,14500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0015,giraffes,bounded,baseline,12636000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0017,giraffes,bounded,baseline,18720000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0019,giraffes,bounded,baseline,9450000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0020,giraffes,bounded,baseline,14950000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0018,giraffes,bounded,baseline,23400000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0022,giraffes,bounded,baseline,20562500,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0021,giraffes,bounded,baseline,18200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0023,giraffes,bounded,baseline,24780000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0025,giraffes,bounded,baseline,20800000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0028,giraffes,bounded,baseline,12750000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0026,giraffes,bounded,baseline,21650000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0027,giraffes,bounded,baseline,18522500,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0031,giraffes,bounded,baseline,20475000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0030,giraffes,bounded,baseline,11200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0029,giraffes,bounded,baseline,20160000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0034,giraffes,bounded,baseline,16500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0033,giraffes,bounded,baseline,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0024,giraffes,bounded,baseline,18720000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0032,giraffes,bounded,baseline,15150000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0035,giraffes,bounded,baseline,12200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0036,giraffes,bounded,baseline,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0040,giraffes,bounded,baseline,21060000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0038,giraffes,bounded,baseline,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0037,giraffes,bounded,baseline,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0041,giraffes,bounded,baseline,21060000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0044,giraffes,bounded,baseline,20812000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0043,giraffes,bounded,baseline,12420000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0042,giraffes,bounded,baseline,17000000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0045,giraffes,bounded,baseline,19656000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0046,giraffes,bounded,baseline,15494000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0047,giraffes,bounded,baseline,21600000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0039,giraffes,bounded,baseline,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0048,giraffes,bounded,baseline,16200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:baseline:0049,giraffes,bounded,baseline,15500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0001,giraffes,bounded,above_good,16215000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0003,giraffes,bounded,above_good,18135000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0000,giraffes,bounded,above_good,15750000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0005,giraffes,bounded,above_good,21060000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0004,giraffes,bounded,above_good,18720000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0006,giraffes,bounded,above_good,22700000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0002,giraffes,bounded,above_good,20500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0009,giraffes,bounded,above_good,21645000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0008,giraffes,bounded,above_good,12100000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0007,giraffes,bounded,above_good,19539000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0010,giraffes,bounded,above_good,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0011,giraffes,bounded,above_good,16802500,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0013,giraffes,bounded,above_good,18135000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0012,giraffes,bounded,above_good,21060000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0015,giraffes,bounded,above_good,13200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0017,giraffes,bounded,above_good,14260000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0014,giraffes,bounded,above_good,15286700,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0016,giraffes,bounded,above_good,13900000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0018,giraffes,bounded,above_good,21060000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0020,giraffes,bounded,above_good,20475000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0023,giraffes,bounded,above_good,21060000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0022,giraffes,bounded,above_good,18400000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0019,giraffes,bounded,above_good,18370000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0024,giraffes,bounded,above_good,20475000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0025,giraffes,bounded,above_good,14640000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0026,giraffes,bounded,above_good,13240000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0029,giraffes,bounded,above_good,22989000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0027,giraffes,bounded,above_good,23400000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0030,giraffes,bounded,above_good,22200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0032,giraffes,bounded,above_good,18800000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0031,giraffes,bounded,above_good,18500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0028,giraffes,bounded,above_good,11700000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0034,giraffes,bounded,above_good,18200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0033,giraffes,bounded,above_good,18200000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0036,giraffes,bounded,above_good,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0037,giraffes,bounded,above_good,24570000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0038,giraffes,bounded,above_good,14625000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0040,giraffes,bounded,above_good,16400000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0035,giraffes,bounded,above_good,23000000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0041,giraffes,bounded,above_good,19305000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0042,giraffes,bounded,above_good,20475000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0044,giraffes,bounded,above_good,13800000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0039,giraffes,bounded,above_good,20475000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0043,giraffes,bounded,above_good,18374940,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0047,giraffes,bounded,above_good,15800000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0048,giraffes,bounded,above_good,17500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0046,giraffes,bounded,above_good,18792000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0049,giraffes,bounded,above_good,19532000,17550000.0,8775000,26325000,False
main:giraffes:bounded:above_good:0045,giraffes,bounded,above_good,18000000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0003,giraffes,bounded,below_good,14274000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0002,giraffes,bounded,below_good,21650000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0000,giraffes,bounded,below_good,16032400,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0001,giraffes,bounded,below_good,21460000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0004,giraffes,bounded,below_good,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0008,giraffes,bounded,below_good,20475000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0006,giraffes,bounded,below_good,19650000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0007,giraffes,bounded,below_good,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0005,giraffes,bounded,below_good,23100000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0009,giraffes,bounded,below_good,18000000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0010,giraffes,bounded,below_good,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0014,giraffes,bounded,below_good,16800000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0013,giraffes,bounded,below_good,17500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0012,giraffes,bounded,below_good,10050000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0011,giraffes,bounded,below_good,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0016,giraffes,bounded,below_good,19364400,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0015,giraffes,bounded,below_good,16965000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0020,giraffes,bounded,below_good,21060000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0019,giraffes,bounded,below_good,17456400,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0021,giraffes,bounded,below_good,18500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0017,giraffes,bounded,below_good,9243000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0018,giraffes,bounded,below_good,14500000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0023,giraffes,bounded,below_good,17550000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0024,giraffes,bounded,below_good,19313000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0022,giraffes,bounded,below_good,20241000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0025,giraffes,bounded,below_good,16800000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0026,giraffes,bounded,below_good,16400000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0029,giraffes,bounded,below_good,16263000,17550000.0,8775000,26325000,False
main:giraffes:bounded:below_good:0027,giraffes,bounded,below_good,16800000,17550000.0,8775000,26325000,False
