sample_id,task,format,condition,final_estimate,threshold,lower_bound,upper_bound,bound_violation
pilot:giraffes:unrestricted:below_good:0007,giraffes,unrestricted,below_good,23400000,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0009,giraffes,unrestricted,below_good,13272000,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0008,giraffes,unrestricted,below_good,17897100,19597500.0,,,False
pilot:giraffes:bounded:baseline:0000,giraffes,bounded,baseline,14500000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0002,giraffes,bounded,baseline,18400000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0003,giraffes,bounded,baseline,20500000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0004,giraffes,bounded,baseline,21610000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0005,giraffes,bounded,baseline,16203250,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0001,giraffes,bounded,baseline,15510000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0007,giraffes,bounded,baseline,18800000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0006,giraffes,bounded,baseline,17419500,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0009,giraffes,bounded,baseline,23400000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:baseline:0008,giraffes,bounded,baseline,20650000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0003,giraffes,bounded,above_good,22850000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0001,giraffes,bounded,above_good,15210000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0002,giraffes,bounded,above_good,20650000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0000,giraffes,bounded,above_good,19850000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0004,giraffes,bounded,above_good,19116000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0007,giraffes,bounded,above_good,18500000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0009,giraffes,bounded,above_good,20475000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0006,giraffes,bounded,above_good,12744000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0008,giraffes,bounded,above_good,21803600,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:above_good:0005,giraffes,bounded,above_good,11248832,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0001,giraffes,bounded,below_good,19600000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0000,giraffes,bounded,below_good,13200000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0003,giraffes,bounded,below_good,18416100,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0006,giraffes,bounded,below_good,20125000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0004,giraffes,bounded,below_good,15750000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0005,giraffes,bounded,below_good,24408090,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0002,giraffes,bounded,below_good,20697600,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0007,giraffes,bounded,below_good,14642100,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0008,giraffes,bounded,below_good,18840000,19597500.0,9798750,29396250,False
pilot:giraffes:bounded:below_good:0009,giraffes,bounded,below_good,16700000,19597500.0,9798750,29396250,False
